title,data sorce,info,details link
한국언론진흥재단_코로나19이후국민의일상변화조사_코로나19 이후 일상 활동 변화,한국언론진흥재단,코로나19 이후 국민의 일상 활동 변화에 관한 자료입니다. 2020 코로나19 이후 국민의 일상 변화 조사에서 제공하는 자료입니다.,https://www.data.go.kr/data/15077856/fileData.do
강원도 영월군_영월군 코로나 행정동별 확진자수,강원도 영월군,공공데이터 제공 요청에 따라 강원도 영월군 코로나 행정동별 확진자 수 데이터를 제공합니다(데이터기준일 2021년 8월 2일),https://www.data.go.kr/data/15085260/fileData.do
서울특별시 관악구_행정동별 코로나19 발생 현황,서울특별시 관악구,"관악구 코로나 19 확진자 발생 현황(연번, 확진일, 환자번호, 국적, 환자정보, 지역, 여행력, 접촉력, 조치사항, 상태, 이동경로, 등록일, 수정일, 노출여부)",https://www.data.go.kr/data/15063501/fileData.do
보건복지부_코로나19 선별진료소_현황,보건복지부,"코로나19 관련 선별진료소 현황(검체채취가능여부, 시도, 시군구, 의료기관명, 주소, 전화번호)에 관한 데이터입니다. 첨부된 링크 주소에서 통해 확인가능합니다.",https://www.data.go.kr/data/15043131/fileData.do
대구광역시_코로나19 일일검사자,대구광역시,"코로나19관련 대구광역시 일일 검사자 수에 대한 데이터 (검사소:대구광역시내 보건소, 이동검사소, 선별검사소, 드라이브스루 등) 입니다.",https://www.data.go.kr/data/15064119/fileData.do
서울특별시 _양천구_코로나19확진자_추정자가격리자및감염자수,서울특별시 양천구,"양천구 코로나19확진자, 추정 자가격리자 수 , 추정 감염자 수(전체 확진자 중 확진자로 인해 자가격리자 수, 감염자 수가 추정가능한 확진자)",https://www.data.go.kr/data/15073398/fileData.do
인천국제공항공사_코로나19 검사센터 현황,인천국제공항공사,"인천국제공항의 코로나19 검사센터 현황(명칭,터미널구분,위치,연락처,담당부서,안내사항,접수방법,내국인_진찰료(평일),내국인_진찰료(공휴일),내국인_PCR검사비,내국인_항체검사비,내국인_항원검사비",https://www.data.go.kr/data/15086557/fileData.do
한국보건복지인력개발원_코로나-19 관련 연구보고서,한국보건복지인력개발원,한국보건복지인력개발원 코로나-19 관련 연구보고서  - 코로나-19 대응인력 교육프로그램 개발 - 코로나-19 대응인력 소통방안 및 교육 방안 모색 - 코로나,https://www.data.go.kr/data/15086413/fileData.do
인천광역시_코로나19 검사건수,인천광역시,코로나19 검사건수,https://www.data.go.kr/data/15064118/fileData.do
강원도 강릉시_코로나19확진자현황,강원도 강릉시,"강원도 강릉시에서 보유한 코로나-19 확진자 수 월별 데이터로 월별, 확진자수, 관리기관명, 부서명, 전화번호, 데이터기준일자 등을 제공합니다.",https://www.data.go.kr/data/15085848/fileData.do
국세청_코로나19 대응방안,국세청,국세청의 코로나19 대응방안 홍보 및 감염 확산 차단과 예방관리 방안 홍보를 통해 코로나19 확산을 차단하고 예방관리를 강화하고자 함.,https://www.data.go.kr/data/15060858/fileData.do
서울특별시 서대문구_동별 코로나19 확진자 수,서울특별시 서대문구,서대문구 행정동별 코로나19 확진자 수,https://www.data.go.kr/data/15076227/fileData.do
한국언론진흥재단_코로나19이후국민의일상변화조사_코로나19 이후 매체기기 이용량 변화,한국언론진흥재단,코로나19 이후 매체기기 이용량 변화에 관한 자료입니다. 2020 코로나19 이후 국민의 일상 변화 조사에서 제공하는 자료입니다.,https://www.data.go.kr/data/15077853/fileData.do
한국언론진흥재단_코로나19이후국민의일상변화조사_코로나19 이후 미디어서비스 이용량 변화,한국언론진흥재단,코로나19 이후 미디어서비스 이용량 변화에 관한 자료입니다. 2020 코로나19 이후 국민의 일상 변화 조사에서 제공하는 자료입니다.,https://www.data.go.kr/data/15077854/fileData.do
한국언론진흥재단_코로나19이후국민의일상변화조사_코로나19 이후 미디어콘텐츠 이용량 변화,한국언론진흥재단,코로나19 이후 미디어콘텐츠 이용량 변화에 관한 자료입니다. 2020 코로나19 이후 국민의 일상 변화 조사에서 제공하는 자료입니다.,https://www.data.go.kr/data/15077855/fileData.do
공공데이터활용지원센터_코로나19 임시선별검사소 현황,공공데이터활용지원센터,"코로나19 관련 임시선별검사소 수도권 설치현황(시도, 시군구, 임시선별검사소, 운영시간, 전화번호, 지도, 관할 보건소)",https://www.data.go.kr/data/15075621/fileData.do
보건복지부_코로나19 국민안심병원_현황,보건복지부,"코로나19 관련 국민안심병원 현황(기준일, 시도, 시군구, 기관명,주소, 신청유형, 전화번호)에 관한 데이터입니다. 첨부된 링크 주소를 통해 확인가능합니다.",https://www.data.go.kr/data/15043128/fileData.do
인천광역시 미추홀구_코로나19 확진자 수,인천광역시 미추홀구,인천광역시 미추홀구 월별 코로나바이러스감염증-19 확진자 수에 대한 데이터입니다. (2021-09-01 기준),https://www.data.go.kr/data/15084612/fileData.do
한국언론진흥재단_코로나19이후국민의일상변화조사_코로나19 이후 재난 대처 능력에 대한 예상,한국언론진흥재단,코로나19 이후 국민의 재난 대처 능력 예상 자료입니다. 2020 코로나19 이후 국민의 일상 변화 조사에서 제공하는 자료입니다.,https://www.data.go.kr/data/15077857/fileData.do
전라북도 부안군_코로나일일상황,전라북도 부안군,"부안군의 날짜별, 총계,  확진자(금일), 확진자(전일), 검사중, 자가격리중, 사망 등의 항목으로 데이터를 제공합니다.",https://www.data.go.kr/data/15064195/fileData.do
대구광역시 동구_코로나-19 일자별확진자 현황,대구광역시 동구,2021년 9월 5일까지의 대구광역시 동구 코로나19 일자별 확진자 현황 데이터입니다. 일자 및 확진자수 항목을 포함합니다.,https://www.data.go.kr/data/15080682/fileData.do
인천광역시_코로나19 확진자 현황,인천광역시,"인천광역시 코로나19 확진자 현황(연번,관리기관,확진일,성별,나이) 데이터 입니다.  * 기준일: 2020-01-20 ~2021-07-31",https://www.data.go.kr/data/15085834/fileData.do
중소벤처기업진흥공단_코로나19 피해기업 지원현황,중소벤처기업진흥공단,중소벤처기업부 정책자금 운용계획 공고 기준에 따른 코로나19 피해 중소기업 자금지원 현황 연도별 지역별 정책자금을 지원한 리스트 현황,https://www.data.go.kr/data/15063413/fileData.do
부산광역시 서구_코로나 확진자 현황,부산광역시 서구,"부산광역시 서구 코로나 확진자 현황에 대한 데이터로 확진자 번호, 확진일자, 거주지, 감염경로, 치료결과 등의 항목을 제공합니다.",https://www.data.go.kr/data/15088953/fileData.do
대구광역시_기초지자체별 일일 코로나19 확진자 수,대구광역시,대구광역시_기초지자체별 일일 코로나19 확진자수( 코로나19 감염증 신규 확진자 수에 대한 일자별로 기재된  자료입니다.),https://www.data.go.kr/data/15076362/fileData.do
서울특별시 영등포구_코로나19 확진자수,서울특별시 영등포구,서울특별시 영등포구의 2020년 행정동별 코로나19 확진자수,https://www.data.go.kr/data/15076226/fileData.do
보건복지부_코로나19 승차검진선별진료소_현황,보건복지부,"코로나19 관련 승차검진(드라이브 스루) 방식의 선별진료 현황(시도, 시군구, 의료기관명, 주소, 전화번호)에 관한 데이터입니다. 첨부된 링크 주소를 통해 확인가능합니다.",https://www.data.go.kr/data/15043129/fileData.do
한국과학창의재단_사이언스타임즈_코로나19,한국과학창의재단,사이언스타임즈에서 제공하는 코로나19 관련 기사에 대한 정보입니다.해당 데이터가 보유한 컬럼은 다음과 같습니다.,https://www.data.go.kr/data/15093608/fileData.do
경기도 포천시_코로나19발생현황,경기도 포천시,경기도 포천시에서 제공하는 2020년 2월(포천시 발생시점) ~ 2021년 8월까지 코로나19(COVID-19) 확진자 현황입니다.,https://www.data.go.kr/data/15090310/fileData.do
국가보훈처 보훈의료 위탁병원 코로나-19 병원 정보,국가보훈처,"보훈대상자 의료 제공 위탁병원의 코로나-19 관련 병원 운영 현황 정보(코로나 관련 국민안심병원, 감염병전담기관, 감염병전담기관 외래진료 정보)",https://www.data.go.kr/data/15043191/fileData.do
서울특별시 강서구_코로나19 확진자 현황,서울특별시 강서구,서울특별시 강서구에서 발생한 코로나19 확진자에 대한 현황 데이터입니다.대상 기간은 2020년 1월 1일부터 2021년 8월 4일까지입니다.,https://www.data.go.kr/data/15085939/fileData.do
충청남도 당진시_코로나 발생현황,충청남도 당진시,"당진시 읍면동별로 코로나19 검사자현황, 접촉자현황, 확진자현황, 사망자 및  해외입국자 현황 등에 대한 데이터입니다.",https://www.data.go.kr/data/15091051/fileData.do
강원도 양양군_코로나19 확진자 현황,강원도 양양군,"2020년 1월 ~ 2021년 7월 코로나신종감염병 바이러스19(COVID-19) 강원도 양양군 읍면별 확진자 월별현황, 월별 확진자 수",https://www.data.go.kr/data/15085969/fileData.do
